gene_id,gene,,,
ENSDARG00000000183,ptpn4b,,,
ENSDARG00000000529,ofd1,,,
ENSDARG00000000568,ell,,,
ENSDARG00000000730,slc6a13,,,
ENSDARG00000000796,nr4a1,,,
ENSDARG00000000972,pcl,,,
ENSDARG00000001452,adam8a,,,
ENSDARG00000001733,gulp1a,,,
ENSDARG00000001734,fkbp8,,,
ENSDARG00000002127,stam,,,
ENSDARG00000002131,celf2,,,
ENSDARG00000002184,igbp1,,,
ENSDARG00000002396,cry-dash,,,
ENSDARG00000002546,rap2ip,,,
ENSDARG00000002830,trmt2a,,,
ENSDARG00000002880,CCDC132 (1 of 2),,,
ENSDARG00000002912,adipor1a,,,
ENSDARG00000002994,itpkca,,,
ENSDARG00000003069,btbd7,,,
ENSDARG00000003229,gdf9,,,
ENSDARG00000003250,pik3cd,,,
ENSDARG00000003251,zbtb22b,,,
ENSDARG00000003383,asb8,,,
ENSDARG00000003584,pla2g7,,,
ENSDARG00000003631,clock3,,,
ENSDARG00000003699,atp7a,,,
ENSDARG00000003705,prnprs3,,,
ENSDARG00000003927,cldn12,,,
ENSDARG00000003952,pfn2,,,
ENSDARG00000004211,CCDC106 (1 of 2),,,
ENSDARG00000004270,atl3,,,
ENSDARG00000004306,klhl18,,,
ENSDARG00000004325,casp9,,,
ENSDARG00000004632,egln1,,,
ENSDARG00000004672,ptk2.1,,,
ENSDARG00000004794,ccdc146,,,
ENSDARG00000004836,dnajc5ab,,,
ENSDARG00000004843,foxp1a,,,
ENSDARG00000004851,hinfp,,,
ENSDARG00000004896,lonp2,,,
ENSDARG00000004979,elovl5,,,
ENSDARG00000005078,eif4e3,,,
ENSDARG00000005095,glcea,,,
ENSDARG00000005350,dip2ba,,,
ENSDARG00000005372,camk4,,,
ENSDARG00000005423,pgam1a,,,
ENSDARG00000005456,katnb1,,,
ENSDARG00000005625,tmem57a,,,
ENSDARG00000005628,evx1,,,
ENSDARG00000005679,TRIP10 (1 of 2),,,
ENSDARG00000005924,serpina10a,,,
ENSDARG00000005948,ankmy2a,,,
ENSDARG00000005972,ric8b,,,
ENSDARG00000006010,bmi1a,,,
ENSDARG00000006021,agtpbp1,,,
ENSDARG00000006025,tp53i11b,,,
ENSDARG00000006169,lrrk2,,,
ENSDARG00000006272,mpp5a,,,
ENSDARG00000006279,rragd,,,
ENSDARG00000006331,mif4gdb,,,
ENSDARG00000006397,laptm4a,,,
ENSDARG00000006604,pvrl3l,,,
ENSDARG00000006640,eomesa,,,
ENSDARG00000006678,pth2r,,,
ENSDARG00000006773,elovl4a,,,
ENSDARG00000006786,copz2,,,
ENSDARG00000006797,nt5dc1,,,
ENSDARG00000006869,stx17,,,
ENSDARG00000006899,far1,,,
ENSDARG00000006915,arl8ba,,,
ENSDARG00000006926,btd,,,
ENSDARG00000007180,slc30a4,,,
ENSDARG00000007302,sh3gl3b,,,
ENSDARG00000007418,chmp4c,,,
ENSDARG00000007477,fbxo8,,,
ENSDARG00000007494,st3gal2l,,,
ENSDARG00000007786,tmx2b,,,
ENSDARG00000007976,si:ch211-220f16.2,,,
ENSDARG00000008014,nudt17,,,
ENSDARG00000008155,sms,,,
ENSDARG00000008192,pank1a,,,
ENSDARG00000008200,ugp2b,,,
ENSDARG00000008239,mocs3,,,
ENSDARG00000008366,mpp7,,,
ENSDARG00000008454,cepb1b,,,
ENSDARG00000008573,fam20b,,,
ENSDARG00000008592,mtmr8,,,
ENSDARG00000008884,hprt1,,,
ENSDARG00000008904,smarca2,,,
ENSDARG00000008979,golga1,,,
ENSDARG00000009142,ppp1r13bb,,,
ENSDARG00000009160,kmo,,,
ENSDARG00000009217,tom1l2,,,
ENSDARG00000009266,uevld,,,
ENSDARG00000009299,dusp8a,,,
ENSDARG00000009493,MAP3K13,,,
ENSDARG00000009557,wrap73,,,
ENSDARG00000009693,llgl1,,,
ENSDARG00000009745,fbxw2,,,
ENSDARG00000009771,ppme1,,,
ENSDARG00000009868,dcaf11,,,
ENSDARG00000010010,trim13,,,
ENSDARG00000010025,lsr,,,
ENSDARG00000010169,myd88,,,
ENSDARG00000010191,ttc39c,,,
ENSDARG00000010207,smad3b,,,
ENSDARG00000010290,stx12,,,
ENSDARG00000010385,sept4a,,,
ENSDARG00000010437,fam46c,,,
ENSDARG00000010601,mtmr10,,,
ENSDARG00000010789,homer3,,,
ENSDARG00000010862,amt,,,
ENSDARG00000010936,abcb4,,,
ENSDARG00000011157,arhgef18a,,,
ENSDARG00000011370,fyna,,,
ENSDARG00000011373,mknk2a,,,
ENSDARG00000011418,sigmar1,,,
ENSDARG00000011498,si:ch211-212o1.2,,,
ENSDARG00000011570,pou6f1,,,
ENSDARG00000011583,cry1b,,,
ENSDARG00000011605,dennd6b,,,
ENSDARG00000011783,stag2a,,,
ENSDARG00000011809,mical1,,,
ENSDARG00000011837,C13H9orf72,,,
ENSDARG00000011931,dph5,,,
ENSDARG00000012021,kdsr,,,
ENSDARG00000012081,kif3b,,,
ENSDARG00000012135,fbxl2,,,
ENSDARG00000012177,rab4b,,,
ENSDARG00000012453,rnls,,,
ENSDARG00000012460,rassf4,,,
ENSDARG00000012468,aacs,,,
ENSDARG00000012718,wee2,,,
ENSDARG00000012818,ck2a2a,,,
ENSDARG00000012866,picalm,,,
ENSDARG00000012914,arhgef4,,,
ENSDARG00000012927,tcea2,,,
ENSDARG00000013024,ERAP1 (2 of 2),,,
ENSDARG00000013236,dhcr24,,,
ENSDARG00000013670,hyou1,,,
ENSDARG00000013776,THOP1,,,
ENSDARG00000013828,snx13,,,
ENSDARG00000013837,spo11,,,
ENSDARG00000013881,pi4k2b,,,
ENSDARG00000013928,plekhb2,,,
ENSDARG00000014113,wasla,,,
ENSDARG00000014218,mecp2,,,
ENSDARG00000014324,sh2d5,,,
ENSDARG00000014361,tmbim4,,,
ENSDARG00000014403,lnpep,,,
ENSDARG00000014430,rabgef1,,,
ENSDARG00000014474,yipf1,,,
ENSDARG00000014532,aida,,,
ENSDARG00000014550,rfx3,,,
ENSDARG00000014592,DENND1A,,,
ENSDARG00000014655,itpr1a,,,
ENSDARG00000014761,mfsd6l,,,
ENSDARG00000014859,igfbp3,,,
ENSDARG00000014866,hprt1l,,,
ENSDARG00000014962,ppp3cca,,,
ENSDARG00000014994,tbp,,,
ENSDARG00000015006,dnm1l,,,
ENSDARG00000015167,abcd3a,,,
ENSDARG00000015290,-,,,
ENSDARG00000015349,mfge8a,,,
ENSDARG00000015471,chd1l,,,
ENSDARG00000015474,ppp2r5ea,,,
ENSDARG00000015552,phactr4a,,,
ENSDARG00000015557,zgc:100829,,,
ENSDARG00000015747,aarsd1,,,
ENSDARG00000015770,fam175b,,,
ENSDARG00000015860,mtmr9,,,
ENSDARG00000015905,lztr1,,,
ENSDARG00000015917,rnft1,,,
ENSDARG00000015937,kptn,,,
ENSDARG00000016074,cryz,,,
ENSDARG00000016117,exd2,,,
ENSDARG00000016163,usp33,,,
ENSDARG00000016238,arl6ip5b,,,
